"tract","Name","Incarceration_Rate_rP_gP_pall"
6037620601,"North Redondo, Redondo Beach, CA",0.0124
6037218220,"Central LA, Los Angeles, CA",0.0124
6037602403,"Hawthorne, CA",0.0124
6037534502,"Huntington Park, CA",0.0123
6037534203,"South Montebello, Bell Gardens, CA",0.0123
6037503502,"East Whitter, Whittier, CA",0.0122
6037209520,"Central LA, Los Angeles, CA",0.0122
6037192420,"Central LA, Los Angeles, CA",0.0122
6037570601,"Lindbergh, Long Beach, CA",0.0122
6037275500,"Culver City, CA",0.0122
6037269905,"Palms, Los Angeles, CA",0.0122
6037531101,"Los Angeles, CA",0.0121
6037502100,"Whittier, CA",0.0121
6037195600,"Los Angeles, CA",0.0121
6037195500,"Silver Lake, Los Angeles, CA",0.0121
6037432402,"El Monte City, El Monte, CA",0.0121
6037211922,"Central LA, Los Angeles, CA",0.0121
6037601802,"Inglewood, CA",0.0121
6037269903,"Palms, Los Angeles, CA",0.0121
6037604002,"Lawndale, CA",0.012
6037600302,"South Los Angeles, Los Angeles, CA",0.012
6037650003,"Northwest Torrance, Torrance, CA",0.012
6037234000,"Leimert Park, Los Angeles, CA",0.012
6037601501,"Inglewood, CA",0.0119
6037600502,"Inglewood, CA",0.0119
6037570501,"Jordan, Long Beach, CA",0.0119
6037504002,"La Mirada, CA",0.0119
6037221304,"Central LA, Los Angeles, CA",0.0119
6037482102,"Monterey Park, CA",0.0119
6037433504,"El Monte City, El Monte, CA",0.0119
6037534301,"Cudahy, CA",0.0118
6037551201,"Downey, CA",0.0118
6037621324,"South Redondo, Redondo Beach, CA",0.0118
6037542900,"Compton, CA",0.0117
6037530302,"South Montebello, East Los Angeles, CA",0.0117
6037503000,"Whittier, CA",0.0117
6037541802,"Lynwood, CA",0.0117
6037554302,"Bellflower, CA",0.0117
6059110202,"Southwest Anaheim, Buena Park, CA",0.0116
6037532605,"Huntington Park, CA",0.0116
6037209104,"Central LA, Los Angeles, CA",0.0116
6037291120,"Harbor, Gardena, CA",0.0115
6037702400,"Lucerne - Higuera, Culver City, CA",0.0115
6037703002,"Los Angeles, CA",0.0115
6037432601,"El Monte City, El Monte, CA",0.0114
6037232110,"South Figueroa Corridor, Los Angeles, CA",0.0114
6037701701,"Mid-City, Santa Monica, CA",0.0114
6037432802,"El Monte City, El Monte, CA",0.0114
6037432700,"El Monte City, El Monte, CA",0.0114
6037531701,"South Montebello, East Los Angeles, CA",0.0113
6037531604,"East Los Angeles, CA",0.0113
6059110606,"Buena Park, CA",0.0113
6037502700,"Santa Fe Springs, CA",0.0113
6037543305,"Los Angeles County, CA",0.0112
6037501504,"Whittier, CA",0.0112
6037195802,"Central LA, Los Angeles, CA",0.0112
6037271802,"Palms, Los Angeles, CA",0.0112
6037555001,"Lakewood, CA",0.0111
6037433902,"El Monte, CA",0.0111
6037534900,"South Los Angeles, Los Angeles, CA",0.0111
6037531301,"Los Angeles, CA",0.0111
6037433200,"El Monte City, El Monte, CA",0.0111
6037267700,"Sawtelle, Los Angeles, CA",0.0111
6037542700,"Compton, CA",0.0111
6037535503,"South Gate, CA",0.0111
6037270100,"Palms, Los Angeles, CA",0.011
6037602002,"Hawthorne, CA",0.011
6037533203,"Huntington Park, CA",0.011
6037185202,"Mount Washington, Los Angeles, CA",0.011
6037570304,"North Long Beach, Long Beach, CA",0.011
6037205110,"Boyle Heights, Los Angeles, CA",0.011
6037212502,"Central LA, Los Angeles, CA",0.011
6037433401,"South El Monte, CA",0.011
6037203720,"Boyle Heights, Los Angeles, CA",0.011
6037503104,"Whittier, CA",0.0109
