"tract","Name","Number_of_Children_rP_gP_pall"
6037533201,"Huntington Park, CA",1160
6037554301,"Bellflower, CA",1160
6037572001,"Bixby Knolls, Long Beach, CA",1160
6037600911,"Inglewood, CA",1160
6037571400,"Lakewood Mutual, Lakewood, CA",1160
6037201503,"Northeast Los Angeles, Los Angeles, CA",1158
6037191420,"Central LA, Los Angeles, CA",1158
6037237201,"South Los Angeles, Los Angeles, CA",1158
6037199300,"Montecito Heights, Los Angeles, CA",1157
6037602002,"Hawthorne, CA",1156
6037603702,"Lawndale, CA",1156
6037620701,"North Redondo, Redondo Beach, CA",1154
6037204910,"Boyle Heights, Los Angeles, CA",1153
6037208610,"Central LA, Los Angeles, CA",1152
6037650101,"Northeast Torrance, Torrance, CA",1151
6037211703,"Central LA, Los Angeles, CA",1150
6037210010,"Central LA, Los Angeles, CA",1150
6037503601,"La Mirada, CA",1147
6037239320,"South Los Angeles, Los Angeles, CA",1145
6037650800,"Park Plaza, Torrance, CA",1144
6037541100,"Compton, CA",1144
6037204200,"Boyle Heights, Los Angeles, CA",1142
6037503105,"Whittier, CA",1141
6037571504,"Bixby Knolls, Long Beach, CA",1140
6037603400,"Gardena, CA",1139
6037291220,"Harbor, Gardena, CA",1139
6037432901,"Rosemead, CA",1137
6037211120,"Central LA, Los Angeles, CA",1136
6037208401,"Central LA, Los Angeles, CA",1136
6037185310,"Northeast Los Angeles, Los Angeles, CA",1134
6037482401,"Garvey, Rosemead, CA",1132
