"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
6037552001,"Norwalk, CA",29239
6037536103,"South Gate, CA",29233
6037552900,"Norwalk, CA",29215
6037571504,"Bixby Knolls, Long Beach, CA",29181
6037550500,"Downey, CA",29180
6037551900,"Norwalk, CA",29174
6037191710,"Central LA, Los Angeles, CA",29136
6059110110,"Cypress, CA",29131
6037433802,"South El Monte, CA",29129
6037194401,"Beverly Grove, Los Angeles, CA",29117
6037603006,"Gardena, CA",29113
6037432402,"El Monte City, El Monte, CA",29111
6037573402,"Signal Hill, CA",29104
6037701702,"Downtown, Santa Monica, CA",29101
6037530203,"South Montebello, Montebello, CA",29095
6037272301,"Mar Vista, Los Angeles, CA",29086
6037532001,"South Montebello, Montebello, CA",29061
6037201602,"Northeast Los Angeles, Los Angeles, CA",29024
6037216900,"Central LA, Los Angeles, CA",29020
6037503202,"East Whitter, Whittier, CA",29006
6037550000,"Norwalk, CA",28990
6037551202,"Downey, CA",28969
6037211410,"Central LA, Los Angeles, CA",28960
6037544002,"Long Beach, CA",28948
6037503104,"Whittier, CA",28943
6037209403,"Central LA, Los Angeles, CA",28921
6037500404,"El Rancho, Pico Rivera, CA",28917
6037570502,"Grant, Long Beach, CA",28915
6037530202,"South Montebello, Montebello, CA",28911
6037600501,"Inglewood, CA",28910
6037543304,"Carson, CA",28900
6037199400,"Mount Washington, Los Angeles, CA",28889
6037530301,"East Los Angeles, CA",28888
6037543400,"Carson, CA",28887
6037554101,"Bellflower, CA",28881
6037534802,"Huntington Park, CA",28879
6037551101,"Downey, CA",28866
6037536200,"South Gate, CA",28858
6037433602,"Garvey, Rosemead, CA",28838
6037433503,"El Monte City, South El Monte, CA",28815
6037555001,"Lakewood, CA",28793
6037195903,"Silver Lake, Los Angeles, CA",28789
6037267501,"West Los Angeles, Los Angeles, CA",28766
6037291130,"Harbor, Gardena, CA",28756
6037553701,"Paramount, CA",28742
6037553000,"Norwalk, CA",28713
6037482522,"South Montebello, Montebello, CA",28699
6037535606,"South Gate, CA",28675
6037601600,"Inglewood, CA",28665
6037221210,"Central LA, Los Angeles, CA",28657
6037552800,"Norwalk, CA",28645
6037701701,"Mid-City, Santa Monica, CA",28626
6037197410,"Echo Park, Los Angeles, CA",28582
6037620601,"North Redondo, Redondo Beach, CA",28570
6037269903,"Palms, Los Angeles, CA",28565
6037535604,"South Gate, CA",28552
6037701801,"Pico, Santa Monica, CA",28543
6037533902,"South Montebello, Bell Gardens, CA",28531
6037554001,"Bellflower, CA",28529
6037211922,"Central LA, Los Angeles, CA",28521
6037192420,"Central LA, Los Angeles, CA",28515
6037211120,"Central LA, Los Angeles, CA",28498
6037555002,"Lakewood, CA",28491
6037434003,"El Monte, CA",28486
6037554002,"Bellflower, CA",28481
6037433304,"El Monte, CA",28475
6037534203,"South Montebello, Bell Gardens, CA",28467
6037601202,"Inglewood, CA",28460
6037208802,"Central LA, Los Angeles, CA",28458
6037236000,"Baldwin Hills, Los Angeles, CA",28445
6037543322,"Carson, CA",28444
6037502301,"Whittier, CA",28440
6037224700,"South Los Angeles, Los Angeles, CA",28434
6037269700,"Beverlywood, Los Angeles, CA",28423
6037553901,"Paramount, CA",28420
6037267300,"West Los Angeles, Los Angeles, CA",28390
6037532500,"Huntington Park, CA",28387
6037602106,"Hawthorne, CA",28382
6037535803,"South Gate, CA",28360
6037530602,"Los Angeles, CA",28345
6037554700,"Norwalk, CA",28342
6037275302,"Marina del Rey, CA",28326
6037199000,"Northeast Los Angeles, Los Angeles, CA",28314
6037500700,"El Rancho, Pico Rivera, CA",28298
6037269905,"Palms, Los Angeles, CA",28266
6037552700,"Norwalk, CA",28261
6037554103,"Bellflower, CA",28259
6037532400,"Vernon, CA",28254
6037602200,"Los Angeles, CA",28252
6037550300,"Norwalk, CA",28237
6037533107,"Huntington Park, CA",28219
6037535502,"South Gate, CA",28214
6037211804,"Central LA, Los Angeles, CA",28207
6037201110,"Northeast Los Angeles, Los Angeles, CA",28207
6037554405,"Bellflower, CA",28195
6037534502,"Huntington Park, CA",28185
6037221220,"Central LA, Los Angeles, CA",28158
6037433200,"El Monte City, El Monte, CA",28144
6037213201,"Central LA, Los Angeles, CA",28142
6037535702,"South Gate, CA",28139
6037408301,"Bassett, Avocado Heights, CA",28120
6037212101,"Central LA, Los Angeles, CA",28071
6037291210,"Harbor, Gardena, CA",28056
6037554801,"Artesia, CA",28051
6037600912,"Inglewood, CA",28044
6037601401,"Inglewood, CA",28041
6037572302,"West Side, Long Beach, CA",28033
6037531502,"East Los Angeles, CA",28002
6037535605,"South Gate, CA",27977
6037212203,"Central LA, Los Angeles, CA",27968
6037191620,"Central LA, Los Angeles, CA",27945
6037226002,"Central LA, Los Angeles, CA",27936
6059087801,"Stanton, CA",27934
6037602404,"Hawthorne, CA",27927
6037433401,"South El Monte, CA",27911
6037534406,"Cudahy, CA",27892
